15:31:07 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:31:12 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:31:17 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:31:22 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:31:27 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:31:32 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:31:37 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:31:42 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:31:47 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:31:52 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:31:57 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:32:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:32:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:32:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:32:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:32:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:32:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:32:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:32:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:32:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:32:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:32:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:32:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:33:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:33:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:33:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:33:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:33:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:33:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:33:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:33:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:33:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:33:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:33:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:33:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:34:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:34:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:34:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:34:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:34:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:34:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:34:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:34:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:34:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:34:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:34:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:34:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:35:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:35:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:35:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:35:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:35:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:35:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:35:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:35:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:35:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:35:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:35:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:35:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:36:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:36:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:36:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:36:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:36:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:36:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:36:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:36:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:36:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:36:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:36:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:36:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:37:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:37:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:37:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:37:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:37:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:37:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:37:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:37:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:37:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:37:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:37:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:37:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:38:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:38:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:38:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:38:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:38:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:38:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:38:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:38:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:38:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:38:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:38:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:38:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:39:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:39:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:39:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:39:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:39:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:39:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:39:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:39:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:39:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:39:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:39:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:39:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:40:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:40:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:40:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:40:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:40:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:40:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:40:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:40:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:40:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:40:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:40:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:40:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:41:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:41:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:41:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:41:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:41:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:41:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:41:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:41:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:41:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:41:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:41:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:41:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:42:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:42:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:42:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:42:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:42:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:42:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:42:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:42:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:42:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:42:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:42:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:42:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:43:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:43:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:43:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:43:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:43:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:43:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:43:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:43:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:43:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:43:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:43:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:43:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:44:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:44:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:44:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:44:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:44:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:44:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:44:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:44:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:44:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:44:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:44:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:44:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:45:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:45:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:45:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:45:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:45:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:45:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:45:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:45:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:45:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:45:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:45:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:45:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:46:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:46:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:46:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:46:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:46:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:46:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:46:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:46:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:46:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:46:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:46:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:46:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:47:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:47:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:47:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:47:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:47:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:47:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:47:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:47:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:47:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
